"Time","Step_Base","Step_Elbow","Step_Shoulder","Step_WristLeft","Step_WristRight","Step_Gripper","Palm_x","Palm_y","Palm_z"
6574446387,0,0,0,0,0,0,-63.5677757263184,344.207489013672,15.1979732513428
6574515930,-3,-1,0,0,0,0,-63.9692115783691,344.224304199219,15.0754613876343
6574567877,0,0,-1,0,0,0,-63.900074005127,344.431579589844,15.0909967422485
6574611175,1,-1,-1,0,0,0,-63.7132530212402,344.792663574219,14.956639289856
6574654553,2,0,-1,0,0,0,-63.4593467712402,345.090118408203,14.9409017562866
6574697905,2,0,0,0,0,0,-63.1491546630859,345.135223388672,14.9807376861572
6574749953,3,1,1,0,0,0,-62.6400299072266,344.770416259766,15.1219139099121
6574801936,3,1,1,0,0,0,-62.153881072998,344.594055175781,15.3166484832764
6574854001,3,1,-1,0,0,0,-61.7149543762207,344.831451416016,15.4342269897461
6574905988,2,0,0,0,0,0,-61.3796539306641,344.718994140625,15.4215402603149
6574949359,2,-1,1,0,0,0,-61.0834884643555,344.319946289063,15.3176794052124
6575001435,2,-1,2,0,0,0,-60.7088623046875,343.685272216797,15.1790227890015
6575044768,4,-3,3,0,0,0,-60.0947532653809,342.985595703125,14.7150325775146
6575105462,7,-3,2,0,0,0,-58.932674407959,342.487091064453,14.205189704895
6575183527,12,-3,3,0,0,0,-57.0519943237305,341.778503417969,13.6743927001953
6575296288,16,-4,5,0,0,0,-54.5099983215332,340.452301025391,12.9067525863647
6575435047,3,1,4,0,0,0,-54.0086479187012,339.425689697266,13.0133686065674
6575495714,4,-3,-1,0,0,0,-53.4420852661133,339.727752685547,12.4397478103638
6575556424,3,-2,1,0,0,0,-52.9150314331055,339.449188232422,12.140998840332
6575608450,5,-2,1,0,0,0,-52.12255859375,339.119995117188,11.8260021209717
6575677847,9,-1,0,0,0,0,-50.7768707275391,339.030364990234,11.5006818771362
6575764522,9,-2,-2,0,0,0,-49.3849830627441,339.535827636719,11.0849752426147
6575859931,11,0,1,0,0,0,-47.7340545654297,339.148986816406,10.8708238601685
6575964026,9,2,5,0,0,0,-46.309757232666,337.852447509766,10.9800386428833
6576050736,8,2,3,0,0,0,-45.0501670837402,337.013275146484,11.0919141769409
6576137456,5,1,4,0,0,0,-44.3327598571777,335.956024169922,11.151725769043
6576198158,2,1,4,0,0,0,-44.0108489990234,334.930053710938,11.1977996826172
6576258864,2,2,5,0,0,0,-43.6184463500977,333.48828125,11.3803567886353
6576328229,2,3,4,0,0,0,-43.230785369873,332.485046386719,11.733302116394
6576388922,0,4,2,0,0,0,-43.2118835449219,331.821502685547,12.3578033447266
6576440983,-2,5,1,0,0,0,-43.4207038879395,331.500396728516,13.1164979934692
6576510385,-1,5,1,0,0,0,-43.4518280029297,331.140808105469,13.9101266860962
6576579707,4,4,3,0,0,0,-42.7629318237305,330.368804931641,14.4150848388672
6576640434,7,0,3,0,0,0,-41.6434173583984,329.682189941406,14.2837657928467
6576718495,9,-1,6,0,0,0,-40.3190994262695,328.171325683594,13.8619546890259
6576805219,6,2,2,0,0,0,-39.4106254577637,327.520141601563,14.0152444839478
6576874549,6,0,5,0,0,0,-38.4218826293945,326.086975097656,13.7406969070435
6576952616,6,0,5,0,0,0,-37.4799118041992,324.785430908203,13.4422693252563
6577021988,4,0,4,0,0,0,-36.8898735046387,323.739776611328,13.1713037490845
6577082713,4,0,5,0,0,0,-36.2799949645996,322.306793212891,12.9332599639893
6577143360,4,1,4,0,0,0,-35.609733581543,321.226745605469,12.8151922225952
6577204100,5,1,4,0,0,0,-34.8298187255859,320.112121582031,12.655083656311
6577273495,9,0,7,0,0,0,-33.5002975463867,318.237182617188,12.1713256835938
6577360198,10,0,3,0,0,0,-31.927490234375,317.391479492188,11.7960004806519
6577455607,5,4,4,0,0,0,-31.1225490570068,316.433685302734,12.1554126739502
6577524975,1,3,3,0,0,0,-30.8884563446045,315.599975585938,12.3928461074829
6577577012,1,1,1,0,0,0,-30.7219829559326,315.220184326172,12.4427528381348
6577620345,2,2,0,0,0,0,-30.421422958374,315.32421875,12.6463165283203
6577663723,2,2,0,0,0,0,-30.0284290313721,315.443389892578,12.8339157104492
6577707060,3,3,0,0,0,0,-29.5184154510498,315.317535400391,13.1770524978638
6577759258,4,2,2,0,0,0,-28.8954067230225,314.882476806641,13.3333377838135
6577819990,6,1,3,0,0,0,-27.9405860900879,314.179504394531,13.139066696167
6577889289,7,3,5,0,0,0,-26.7877922058105,312.739501953125,13.1511850357056
6577967213,6,3,8,0,0,0,-25.8675880432129,310.648590087891,13.1213321685791
6578054179,5,1,4,0,0,0,-25.1666641235352,309.462585449219,12.884129524231
6578123352,1,1,2,0,0,0,-24.978006362915,308.871154785156,12.8741331100464
6578166658,-2,1,2,0,0,0,-25.2180023193359,308.341735839844,12.9404077529907
6578210020,-1,1,3,0,0,0,-25.3292865753174,307.435821533203,12.9769382476807
6578270879,0,3,9,0,0,0,-25.2677421569824,305.095550537109,12.93505859375
6578357470,5,3,8,0,0,0,-24.5408477783203,302.885803222656,12.7439041137695
6578444190,4,2,4,0,0,0,-23.9381809234619,301.836730957031,12.6533107757568
6578504877,3,3,7,0,0,0,-23.4132957458496,300.093170166016,12.5895547866821
6578582955,2,0,4,0,0,0,-23.165735244751,298.988739013672,12.2542295455933
6578643652,-1,0,4,0,0,0,-23.3758087158203,298.073028564453,12.0037822723389
6578687090,0,-2,2,0,0,0,-23.4705963134766,297.526092529297,11.6161317825317
6578747816,1,-1,3,0,0,0,-23.4019203186035,296.817810058594,11.2793712615967
6578799676,3,0,3,0,0,0,-22.9500732421875,296.064880371094,10.9874229431152
6578851908,7,1,4,0,0,0,-21.9487857818604,295.097351074219,10.6857528686523
6578929958,8,4,5,0,0,0,-20.6241054534912,293.731170654297,10.6501178741455
6579016488,5,7,9,0,0,0,-19.7198352813721,291.442047119141,10.8430261611938
6579103249,6,2,4,0,0,0,-18.7452411651611,290.365509033203,10.6320343017578
6579181270,7,0,2,0,0,0,-17.7228012084961,289.723541259766,10.2155981063843
6579259353,5,-1,0,0,0,0,-17.026346206665,289.755432128906,9.81649398803711
6579320092,2,-1,-1,0,0,0,-16.7908172607422,289.994354248047,9.68964099884033
6579372069,2,1,0,0,0,0,-16.5112285614014,289.917877197266,9.70506763458252
6579415412,1,1,2,0,0,0,-16.3433666229248,289.355041503906,9.66986560821533
6579467495,-1,4,3,0,0,0,-16.3605422973633,288.584228515625,10.0117235183716
6579519519,-3,3,4,0,0,0,-16.7147064208984,287.617279052734,10.3037147521973
6579580277,-1,2,3,0,0,0,-16.9026584625244,286.727752685547,10.400673866272
6579640920,5,0,5,0,0,0,-16.2807083129883,285.406341552734,9.74286842346191
6579701617,5,-1,4,0,0,0,-15.5705900192261,284.433532714844,9.08290386199951
6579771003,3,0,3,0,0,0,-15.173942565918,283.586669921875,8.5847282409668
6579823046,-1,1,3,0,0,0,-15.3587026596069,282.865936279297,8.53284168243408
6579875013,-3,2,3,0,0,0,-15.790867805481,282.041564941406,8.63530731201172
6579927103,-2,2,5,0,0,0,-16.169792175293,280.822265625,8.59085559844971
6579996490,1,1,5,0,0,0,-16.134952545166,279.681518554688,8.3158597946167
6580057167,3,2,6,0,0,0,-15.6706504821777,278.074890136719,7.9361834526062
6580135234,0,5,4,0,0,0,-15.6196937561035,277.052581787109,8.28622341156006
6580196063,-2,1,-1,0,0,0,-15.9028797149658,277.380401611328,8.66427421569824
6580248252,3,-1,-3,0,0,0,-15.4656572341919,278.177825927734,8.6932315826416
6580299977,10,-1,-2,0,0,0,-13.9782371520996,278.723266601563,8.32016944885254
6580404080,16,7,7,0,0,0,-11.4889488220215,277.012176513672,7.99220705032349
6580534129,11,14,12,0,0,0,-9.59041881561279,273.796569824219,8.32495594024658
6580664354,6,8,8,0,0,0,-8.58109569549561,271.817077636719,8.47879886627197
6580742250,7,5,7,0,0,0,-7.55459642410278,270.029907226563,8.15892505645752
6580820293,5,7,9,0,0,0,-6.79288387298584,267.821563720703,8.05440425872803
6580915728,-3,5,7,0,0,0,-7.31278038024902,266.150970458984,8.18931865692139
6580993905,-1,-2,1,0,0,0,-7.63611221313477,265.853546142578,7.76170253753662
6581037146,0,-2,0,0,0,0,-7.70578289031982,265.778228759766,7.47756814956665
6581089184,-2,-2,1,0,0,0,-8.13028526306152,265.493804931641,7.15233087539673
6581132485,-1,-1,1,0,0,0,-8.3083667755127,265.305633544922,6.99796533584595
6581175889,-1,0,2,0,0,0,-8.47175693511963,264.869781494141,6.90933227539063
6581227866,0,0,2,0,0,0,-8.56537342071533,264.395538330078,6.75569486618042
6581271278,0,0,2,0,0,0,-8.57718944549561,263.831634521484,6.52349185943604
6581314605,1,1,3,0,0,0,-8.49188232421875,263.176086425781,6.359534740448
6581375301,1,2,4,0,0,0,-8.33297538757324,262.185424804688,6.14530086517334
6581427371,1,2,3,0,0,0,-8.18511009216309,261.354736328125,5.99714040756226
6581479393,2,1,3,0,0,0,-8.00811862945557,260.525665283203,5.65284872055054
6581531437,0,1,4,0,0,0,-8.08894729614258,259.669281005859,5.32249355316162
6581592131,-2,0,5,0,0,0,-8.51615428924561,258.564483642578,4.86931705474854
6581661496,-3,-2,5,0,0,0,-9.2690954208374,257.506744384766,4.23205947875977
6581730876,-1,-3,4,0,0,0,-9.77352523803711,256.674652099609,3.37237930297852
6581791573,0,-3,3,0,0,0,-10.0478820800781,256.100128173828,2.59771323204041
6581843624,0,-2,2,0,0,0,-10.222243309021,255.671676635742,2.12935328483582
6581887007,0,-1,1,0,0,0,-10.2816953659058,255.475326538086,1.91143977642059
6581930322,0,0,2,0,0,0,-10.364598274231,255.076446533203,1.67283523082733
6581973666,0,1,2,0,0,0,-10.4416151046753,254.518798828125,1.47400796413422
6582025734,1,4,6,0,0,0,-10.4045505523682,252.941070556641,1.25833833217621
6582095096,1,6,8,0,0,0,-10.3521356582642,251.029663085938,1.01567554473877
6582181922,2,6,10,0,0,0,-10.1939964294434,248.694366455078,0.573833882808685
6582277196,6,3,8,0,0,0,-9.46660232543945,246.846221923828,-0.333240538835526
6582363940,5,5,6,0,0,0,-8.77032279968262,245.386260986328,-0.720371603965759
6582433402,3,3,4,0,0,0,-8.34728908538818,244.408004760742,-1.05520749092102
6582493988,2,3,3,0,0,0,-8.11255264282227,243.74577331543,-1.07307302951813
6582546015,-1,1,2,0,0,0,-8.29757785797119,243.369354248047,-1.01589131355286
6582589371,0,1,2,0,0,0,-8.33087825775146,242.985397338867,-1.1453001499176
6582641434,2,0,1,0,0,0,-8.11062431335449,242.720840454102,-1.4013307094574
6582684799,0,2,2,0,0,0,-8.14036273956299,242.275650024414,-1.42458474636078
6582728158,-1,3,3,0,0,0,-8.29403686523438,241.490600585938,-1.34670186042786
6582788836,-2,5,6,0,0,0,-8.63399791717529,240.026596069336,-1.35193812847137
6582858254,-1,1,3,0,0,0,-8.92900943756104,239.282638549805,-1.5794837474823
6582910244,2,0,2,0,0,0,-8.77361297607422,238.773849487305,-2.00121331214905
6582962302,0,-1,2,0,0,0,-8.88310623168945,238.417541503906,-2.50669622421265
6583005687,0,0,2,0,0,0,-9.00982761383057,237.927917480469,-2.80837917327881
6583049074,1,0,1,0,0,0,-8.94305992126465,237.609817504883,-3.08540105819702
