"Time","Step_Base","Step_Elbow","Step_Shoulder","Step_WristLeft","Step_WristRight","Step_Gripper","Palm_x","Palm_y","Palm_z"
178754682020,0,0,0,0,0,0,-32.528736114502,340.426818847656,19.0023021697998
178754751504,2,-3,-1,0,0,0,-32.1824913024902,340.567077636719,18.5299377441406
178754812146,2,-2,1,0,0,0,-31.8728580474854,340.289642333984,18.2177562713623
178754855470,1,-2,1,0,0,0,-31.7880706787109,339.898956298828,17.9796981811523
178754907509,0,-2,1,0,0,0,-31.7716770172119,339.699279785156,17.7109355926514
178754950881,-1,0,0,0,0,0,-31.9548206329346,339.72802734375,17.740629196167
178754994278,-1,-1,1,0,0,0,-32.039493560791,339.529418945313,17.652946472168
178755037635,2,-1,1,0,0,0,-31.7633018493652,339.300842285156,17.4490528106689
178755080921,4,-2,3,0,0,0,-31.1848773956299,338.594482421875,17.0520534515381
178755141644,6,-2,2,0,0,0,-30.3252544403076,337.921813964844,16.674617767334
178755211075,6,1,-1,0,0,0,-29.3984432220459,338.152557373047,16.854076385498
178755289135,7,-1,1,0,0,0,-28.2983589172363,337.788604736328,16.634973526001
178755367177,7,2,2,0,0,0,-27.1808567047119,337.172790527344,16.9001064300537
178755445236,6,0,2,0,0,0,-26.2231903076172,336.539855957031,16.9138202667236
178755514591,5,0,5,0,0,0,-25.4171924591064,335.325317382813,16.8114147186279
178755566685,4,0,5,0,0,0,-24.7964706420898,333.946319580078,16.8058929443359
178755644684,8,-2,6,0,0,0,-23.5260791778564,332.384063720703,16.3616390228271
178755731365,6,0,-1,0,0,0,-22.5924949645996,332.588287353516,16.2720623016357
178755800949,2,2,0,0,0,0,-22.2939529418945,332.698974609375,16.5001564025879
178755852972,2,1,0,0,0,0,-21.9579448699951,332.733062744141,16.5852031707764
178755896238,3,0,2,0,0,0,-21.5122947692871,332.320495605469,16.4635162353516
178755948129,4,-1,5,0,0,0,-20.958251953125,330.902496337891,16.1415634155273
178756017519,6,-1,5,0,0,0,-20.0935363769531,329.498077392578,15.8005561828613
178756086903,6,-1,3,0,0,0,-19.1272411346436,328.70947265625,15.5176820755005
178756165165,7,-2,4,0,0,0,-18.1086025238037,327.631439208984,14.9666013717651
178756243021,5,0,3,0,0,0,-17.3813991546631,326.957000732422,14.89954662323
178756312391,7,-2,2,0,0,0,-16.3260326385498,326.486358642578,14.5144205093384
178756390438,9,-1,4,0,0,0,-14.9768896102905,325.523498535156,14.2228918075562
178756477158,11,-1,7,0,0,0,-13.3938884735107,323.674133300781,13.7063980102539
178756581172,9,1,6,0,0,0,-11.9345331192017,322.101928710938,13.585000038147
178756668022,9,-1,9,0,0,0,-10.6193237304688,319.696899414063,13.0112771987915
178756771932,13,1,6,0,0,0,-8.66313743591309,318.051574707031,12.696681022644
178756884682,8,1,5,0,0,0,-7.490638256073,316.786437988281,12.5954418182373
178756971419,3,0,6,0,0,0,-7.12117052078247,315.280334472656,12.2956809997559
178757040785,2,0,3,0,0,0,-6.8702073097229,314.356231689453,12.1310148239136
178757092865,2,0,4,0,0,0,-6.57263469696045,313.323974609375,11.8613891601563
178757153572,5,-1,6,0,0,0,-5.9169020652771,311.812774658203,11.2791862487793
178757222960,9,-2,8,0,0,0,-4.71701192855835,309.807159423828,10.4565505981445
178757318342,11,-1,6,0,0,0,-3.19121718406677,308.1669921875,9.75410652160645
178757422349,14,-4,2,0,0,0,-1.25122821331024,307.596862792969,8.62865924835205
178757543796,9,-3,5,0,0,0,0.0256759505718946,306.386749267578,7.67430210113525
178757639218,4,-2,6,0,0,0,0.581939816474915,304.810089111328,7.00011730194092
178757708590,5,-2,4,0,0,0,1.22933340072632,303.793884277344,6.35840463638306
178757769445,7,0,5,0,0,0,2.21161985397339,302.391632080078,5.79758739471436
