"Time","Step_Base","Step_Elbow","Step_Shoulder","Step_WristLeft","Step_WristRight","Step_Gripper","Palm_x","Palm_y","Palm_z"
171216914700,0,0,0,0,0,0,-42.4607696533203,334.719848632813,16.7826519012451
171216975450,-2,1,-1,0,0,0,-42.7783660888672,334.914520263672,16.9387855529785
171217018767,-2,1,0,0,0,0,-43.0781135559082,334.878875732422,17.0857810974121
171217070681,-1,0,2,0,0,0,-43.3067817687988,334.315643310547,17.1529140472412
171217114041,1,-1,3,0,0,0,-43.0953559875488,333.594940185547,17.0406017303467
171217174729,4,-5,1,0,0,0,-42.4731597900391,333.314025878906,16.2920150756836
171217235592,4,-5,1,0,0,0,-41.7774963378906,332.907470703125,15.5212421417236
171217304818,2,-3,2,0,0,0,-41.501220703125,332.336883544922,15.0559091567993
171217356835,0,-1,2,0,0,0,-41.4599494934082,331.869445800781,14.9043312072754
171217400308,1,-2,2,0,0,0,-41.2516899108887,331.321380615234,14.6276350021362
171217452315,4,-3,5,0,0,0,-40.6097717285156,329.928192138672,14.0535135269165
171217513069,6,-2,4,0,0,0,-39.6867942810059,328.829376220703,13.7069005966187
171217590961,6,-5,2,0,0,0,-38.7531852722168,328.244567871094,12.9078712463379
171217660461,8,1,5,0,0,0,-37.47412109375,326.835418701172,13.0559816360474
171217747094,10,-2,2,0,0,0,-35.9013366699219,326.222503662109,12.6579389572144
171217842501,11,-3,0,0,0,0,-34.2036819458008,326.335784912109,12.1759738922119
171217955183,13,1,0,0,0,0,-32.1353416442871,326.367706298828,12.286114692688
171218067980,11,3,2,0,0,0,-30.4791851043701,325.774017333984,12.6259164810181
171218172011,10,4,-1,0,0,0,-28.881139755249,326.131469726563,13.1699800491333
171218267591,11,3,4,0,0,0,-27.1511001586914,324.9873046875,13.4111375808716
171218371691,12,2,4,0,0,0,-25.2565765380859,323.810028076172,13.5549259185791
171218484418,5,3,3,0,0,0,-24.4976997375488,322.926788330078,13.9732189178467
171218545116,4,-1,2,0,0,0,-23.8743324279785,322.325714111328,13.7410354614258
171218605819,7,0,4,0,0,0,-22.8331069946289,321.340118408203,13.6246557235718
171218683822,7,4,6,0,0,0,-21.6365985870361,319.649841308594,13.9424161911011
171218761880,8,1,9,0,0,0,-20.4444122314453,317.183166503906,13.6740417480469
171218857243,7,1,6,0,0,0,-19.3094215393066,315.578643798828,13.5958185195923
171218935258,3,2,5,0,0,0,-18.887716293335,314.281951904297,13.7063093185425
171218996021,4,1,3,0,0,0,-18.1974411010742,313.612518310547,13.6921234130859
171219056685,9,0,4,0,0,0,-16.7762928009033,312.454620361328,13.3831539154053
171219143454,12,3,6,0,0,0,-14.9309635162354,310.8232421875,13.2954444885254
171219256163,8,7,8,0,0,0,-13.576078414917,308.804412841797,13.9036312103271
171219342924,6,3,3,0,0,0,-12.5474796295166,307.987823486328,14.082239151001
171219412276,4,2,2,0,0,0,-11.9345607757568,307.404754638672,14.1951503753662
171219472978,2,1,3,0,0,0,-11.658447265625,306.553192138672,14.2134571075439
171219525020,2,0,2,0,0,0,-11.370400428772,306.027954101563,14.0219430923462
171219568326,1,0,1,0,0,0,-11.2760429382324,305.634765625,13.937931060791
171219611840,1,0,1,0,0,0,-11.1737461090088,305.337463378906,13.8450679779053
171219646461,0,1,1,0,0,0,-11.1600751876831,305.088317871094,13.8826942443848
171219689768,-1,-1,2,0,0,0,-11.3949718475342,304.627532958984,13.7493457794189
171219741743,-1,-1,4,0,0,0,-11.5886125564575,303.683074951172,13.428991317749
171219802516,0,0,5,0,0,0,-11.6926593780518,302.233673095703,13.1462697982788
171219863205,1,1,4,0,0,0,-11.5385618209839,301.292205810547,13.1061010360718
171219923916,2,2,3,0,0,0,-11.1619548797607,300.541290283203,13.1748685836792
171219975983,3,1,3,0,0,0,-10.6374292373657,299.644836425781,13.1303453445435
171220028030,4,1,4,0,0,0,-10.0267372131348,298.468811035156,12.9558181762695
171220088904,4,1,6,0,0,0,-9.45488548278809,296.865112304688,12.5996179580688
171220158057,3,3,5,0,0,0,-8.95742607116699,295.496368408203,12.6021814346313
171220227510,3,0,3,0,0,0,-8.48444652557373,294.600952148438,12.3161573410034
171220279446,3,-1,4,0,0,0,-8.03375911712646,293.575500488281,11.8996992111206
171220340170,4,0,5,0,0,0,-7.43931770324707,292.248626708984,11.4390954971313
171220400819,4,-2,4,0,0,0,-6.93244457244873,291.287872314453,10.8373718261719
171220461573,3,-3,1,0,0,0,-6.573082447052,290.980987548828,10.2071704864502
171220522265,3,-2,1,0,0,0,-6.18779850006104,290.723205566406,9.7366361618042
171220574269,4,-1,0,0,0,0,-5.62079906463623,290.663909912109,9.49370670318604
171220634993,6,-3,1,0,0,0,-4.8555269241333,290.451019287109,8.82907485961914
171220704560,4,-2,5,0,0,0,-4.39320468902588,289.217620849609,7.99935388565063
171220773706,2,0,4,0,0,0,-4.13434505462646,288.265167236328,7.67225742340088
171220834415,1,-1,3,0,0,0,-3.98857760429382,287.432220458984,7.28497266769409
171220886741,0,-1,2,0,0,0,-4.02048969268799,286.802856445313,6.97239446640015
171220929842,1,-1,3,0,0,0,-3.99801707267761,285.973480224609,6.60971260070801
171220981933,2,-1,4,0,0,0,-3.78770804405212,285.031402587891,6.09812211990356
171221042568,3,-2,5,0,0,0,-3.49403119087219,283.790405273438,5.39539289474487
171221111978,4,-1,4,0,0,0,-3.05827116966248,282.638153076172,4.76868724822998
171221172699,4,0,5,0,0,0,-2.60885095596313,281.386779785156,4.24826860427856
171221242008,6,-1,7,0,0,0,-1.95932424068451,279.637939453125,3.33943104743958
171221320094,6,-1,5,0,0,0,-1.20332205295563,278.389526367188,2.59827589988708
171221389459,3,1,4,0,0,0,-0.765514850616455,277.274688720703,2.25622296333313
171221450199,2,0,3,0,0,0,-0.487246751785278,276.554077148438,1.91861963272095
171221502141,3,0,1,0,0,0,-0.152776181697845,276.198944091797,1.63125503063202
171221554209,3,0,2,0,0,0,0.23806768655777,275.678955078125,1.394944190979
171221606219,4,1,4,0,0,0,0.761263728141785,274.668090820313,1.04608070850372
171221666953,4,2,3,0,0,0,1.39851248264313,273.898590087891,0.857970476150513
171221727631,4,2,3,0,0,0,2.00803518295288,273.056182861328,0.742191672325134
171221779793,3,1,3,0,0,0,2.44438529014587,272.346099853516,0.580155611038208
171221840424,3,1,2,0,0,0,2.91289043426514,271.856109619141,0.472707569599152
171221892422,2,2,3,0,0,0,3.20895934104919,271.116790771484,0.434747219085693
171221944502,1,1,3,0,0,0,3.2839252948761,270.423553466797,0.23543743789196
171221996507,0,1,2,0,0,0,3.18239068984985,269.801544189453,0.126285806298256
171222039847,-1,0,2,0,0,0,2.95096206665039,269.423950195313,0.101489514112473
171222091846,-1,-1,1,0,0,0,2.73743081092834,269.223907470703,-0.072739340364933
171222126594,0,-1,0,0,0,0,2.62860155105591,269.12841796875,-0.189500510692596
171222169960,0,-1,0,0,0,0,2.51286005973816,269.054962158203,-0.330865979194641
171222213336,0,1,1,0,0,0,2.50640821456909,268.697937011719,-0.330691248178482
171222248009,0,2,1,0,0,0,2.60780930519104,268.400787353516,-0.218130618333817
171222300031,3,2,3,0,0,0,3.046706199646,267.6533203125,-0.277979165315628
171222352078,4,1,3,0,0,0,3.6006121635437,266.998107910156,-0.527053952217102
171222395423,4,2,4,0,0,0,4.0711612701416,266.068817138672,-0.781555593013763
171222464795,6,4,6,0,0,0,4.93621015548706,264.625946044922,-0.97184419631958
171222534203,5,4,7,0,0,0,5.63000583648682,262.891204833984,-1.2263503074646
171222612246,7,2,7,0,0,0,6.42677021026611,261.207885742188,-1.96859574317932
171222698983,5,3,8,0,0,0,6.94068622589111,259.254577636719,-2.63888001441956
171222777005,4,2,8,0,0,0,7.42134952545166,257.370513916016,-3.31465482711792
171222863810,6,0,2,0,0,0,8.23614311218262,256.795043945313,-3.86838912963867
171222933101,4,1,4,0,0,0,8.76045036315918,255.873489379883,-4.34090042114258
171222993775,3,1,3,0,0,0,9.17002582550049,255.197799682617,-4.68398714065552
171223045841,2,0,1,0,0,0,9.39543056488037,254.96809387207,-4.89083528518677
171223097820,1,1,1,0,0,0,9.59840393066406,254.678359985352,-4.96377277374268
171223132573,1,0,1,0,0,0,9.60545825958252,254.375595092773,-5.18655204772949
171223175910,0,0,2,0,0,0,9.45606994628906,253.880249023438,-5.44627285003662
171223219299,-1,0,3,0,0,0,9.20026969909668,253.202453613281,-5.70886945724487
171223271440,0,4,6,0,0,0,9.20219993591309,251.797164916992,-5.88794755935669
171223349317,7,4,8,0,0,0,10.0259323120117,249.932876586914,-6.54627275466919
171223427381,-1,2,1,0,0,0,10.0038595199585,249.651672363281,-6.28801393508911
171223479476,-1,2,1,0,0,0,9.91370296478271,249.394683837891,-6.09811019897461
171223522761,1,2,1,0,0,0,10.0452327728271,249.098968505859,-5.94817352294922
171223574790,1,4,4,0,0,0,10.2044763565063,248.14582824707,-5.86227035522461
171223626842,1,4,5,0,0,0,10.3028268814087,246.82763671875,-5.94033288955688
171223696604,1,5,7,0,0,0,10.4649562835693,245.24592590332,-6.01867818832397
171223774264,5,3,6,0,0,0,10.9850015640259,243.787902832031,-6.52872180938721
171223843683,5,2,4,0,0,0,11.5227012634277,242.753799438477,-7.04668569564819
171223913044,2,1,3,0,0,0,11.7430381774902,242.110534667969,-7.28126335144043
171223965083,0,1,1,0,0,0,11.7700548171997,241.848693847656,-7.2079291343689
171223999741,0,0,0,0,0,0,11.7634906768799,241.864822387695,-7.16196870803833
171224034461,-1,0,0,0,0,0,11.6842966079712,241.776260375977,-7.13286542892456
171224077920,-1,0,0,0,0,0,11.5845212936401,241.73860168457,-7.12093877792358
171224121144,-1,0,1,0,0,0,11.4935693740845,241.553482055664,-7.15608358383179
171224155857,0,0,0,0,0,0,11.4599800109863,241.508041381836,-7.14990997314453
171224190556,0,1,0,0,0,0,11.4208297729492,241.412033081055,-7.07996034622192
171224233860,0,1,1,0,0,0,11.5112600326538,241.226531982422,-6.99555110931396
171224268612,1,2,2,0,0,0,11.7108335494995,240.851303100586,-6.96409177780151
171224320593,3,3,3,0,0,0,12.2081985473633,240.073348999023,-7.07927083969116
171224372635,3,3,3,0,0,0,12.6500787734985,239.353210449219,-7.17318868637085
171224424676,2,4,3,0,0,0,12.9741764068604,238.665313720703,-7.12021970748901
171224485301,2,4,3,0,0,0,13.2730779647827,237.85514831543,-7.03181171417236
171224537364,2,3,2,0,0,0,13.5481271743774,237.265411376953,-6.93809175491333
171224582575,2,2,2,0,0,0,13.8673295974731,236.860534667969,-6.9057297706604
171224641494,3,3,2,0,0,0,14.2792720794678,236.346008300781,-6.9496169090271
171224693536,2,2,1,0,0,0,14.5582475662231,236.048751831055,-6.96352386474609
171224736860,2,2,1,0,0,0,14.8525829315186,235.818298339844,-6.86026906967163
171224788899,2,3,2,0,0,0,15.1845846176147,235.262145996094,-6.78572273254395
171224840945,1,4,3,0,0,0,15.3266077041626,234.528961181641,-6.62472152709961
171224901607,1,3,3,0,0,0,15.4803352355957,233.879791259766,-6.5334210395813
171224953652,1,2,2,0,0,0,15.5743389129639,233.486114501953,-6.54812574386597
171224996952,0,1,2,0,0,0,15.5743246078491,233.103561401367,-6.66804838180542
171225040390,-1,1,2,0,0,0,15.3785772323608,232.694351196289,-6.74549770355225
171225092342,-2,0,1,0,0,0,14.9428205490112,232.402084350586,-6.88823843002319
171225135736,-2,0,2,0,0,0,14.5291481018066,231.97509765625,-7.09782361984253
171225187732,-2,0,3,0,0,0,14.1090574264526,231.265243530273,-7.41747570037842
171225239979,-1,2,5,0,0,0,13.741024017334,230.210693359375,-7.78870964050293
171225309138,-4,4,6,0,0,0,13.1019849777222,228.823089599609,-7.89575481414795
171225378525,-2,6,5,0,0,0,12.843282699585,227.625473022461,-7.70870542526245
171225447928,2,6,5,0,0,0,13.1715259552002,226.351867675781,-7.72174501419067
171225525940,1,7,7,0,0,0,13.3532495498657,224.744506835938,-7.81515407562256
171225604061,-1,6,6,0,0,0,13.2485246658325,223.450103759766,-7.78451347351074
171225673497,-5,4,4,0,0,0,12.5910558700562,222.531768798828,-7.6171498298645
171225742755,-2,2,4,0,0,0,12.1713886260986,221.704360961914,-7.80138063430786
171225803454,0,1,3,0,0,0,12.0199747085571,220.984085083008,-8.1234245300293
171225855481,1,1,1,0,0,0,12.0819911956787,220.72492980957,-8.2462739944458
171225890168,1,0,0,0,0,0,12.2195701599121,220.640411376953,-8.33912754058838
171225933513,2,2,2,0,0,0,12.5627737045288,220.262802124023,-8.42119979858398
171225985585,4,2,2,0,0,0,13.0929250717163,219.829376220703,-8.54308795928955
171226046306,4,5,2,0,0,0,13.821268081665,219.264236450195,-8.39887714385986
171226107009,5,4,2,0,0,0,14.5204000473022,218.747467041016,-8.43195629119873
171226176345,3,4,2,0,0,0,15.0074243545532,218.196792602539,-8.41481971740723
171226228390,2,2,1,0,0,0,15.2979555130005,217.891296386719,-8.44242095947266
171226280432,2,2,1,0,0,0,15.5751647949219,217.607940673828,-8.49658012390137
171226323774,1,1,1,0,0,0,15.7685928344727,217.391876220703,-8.58506202697754
171226367111,1,1,1,0,0,0,15.9178819656372,217.176513671875,-8.71408939361572
171226401822,0,1,0,0,0,0,15.994704246521,217.103332519531,-8.70424175262451
171226445192,-1,1,1,0,0,0,15.9477396011353,216.902709960938,-8.61593723297119
171226479838,-1,2,1,0,0,0,15.790078163147,216.592681884766,-8.53007793426514
171226531938,-3,2,1,0,0,0,15.4677505493164,216.267364501953,-8.35664463043213
171226583909,-1,1,2,0,0,0,15.2328243255615,215.787063598633,-8.48367309570313
171226635937,0,1,1,0,0,0,15.2698926925659,215.530731201172,-8.58430290222168
171226670643,0,1,1,0,0,0,15.2951774597168,215.273666381836,-8.69349575042725
171226714015,1,1,1,0,0,0,15.4107084274292,215.018951416016,-8.75110054016113
171226748723,1,2,2,0,0,0,15.5194292068481,214.642623901367,-8.73684215545654
171226800721,2,5,4,0,0,0,15.7983770370483,213.664367675781,-8.73726177215576
171226861461,4,6,6,0,0,0,16.3341388702393,212.272247314453,-9.05646991729736
171226930840,2,4,3,0,0,0,16.6057586669922,211.535736083984,-9.11517143249512
171226991580,-1,2,2,0,0,0,16.4520931243896,211.162124633789,-9.02956104278564
171227043581,-2,1,1,0,0,0,16.0913391113281,210.834289550781,-8.97999382019043
171227086943,-2,0,1,0,0,0,15.7069892883301,210.614028930664,-9.05955410003662
171227138951,-3,1,2,0,0,0,15.2260866165161,210.154830932617,-9.09246063232422
171227191105,1,1,2,0,0,0,15.3492040634155,209.816680908203,-9.29847526550293
171227234389,3,1,1,0,0,0,15.7247266769409,209.599472045898,-9.4198694229126
171227286372,3,4,2,0,0,0,16.2325000762939,209.09423828125,-9.42705059051514
171227347030,4,2,0,0,0,0,16.8842239379883,208.954925537109,-9.46973037719727
171227407763,3,1,-1,0,0,0,17.4558277130127,209.020721435547,-9.36055850982666
171227459833,2,3,1,0,0,0,17.8080368041992,208.776016235352,-9.18236923217773
171227511824,0,3,1,0,0,0,17.8832874298096,208.422103881836,-9.00897979736328
171227563854,0,5,2,0,0,0,17.9460353851318,207.839904785156,-8.70463466644287
171227633283,2,8,5,0,0,0,18.2752704620361,206.664505004883,-8.52789497375488
171227719934,5,8,3,0,0,0,19.2057437896729,205.740875244141,-8.24606704711914
171227798009,6,8,1,0,0,0,20.3706302642822,205.18896484375,-7.60959529876709
171227884730,5,5,0,0,0,0,21.3087024688721,204.905975341797,-7.17822313308716
171227954169,0,2,0,0,0,0,21.4212265014648,204.839614868164,-6.87885808944702
171227997501,-2,2,0,0,0,0,21.2484970092773,204.713577270508,-6.61316156387329
171228040794,-4,3,2,0,0,0,20.7360420227051,204.252288818359,-6.18238925933838
171228101544,-6,5,5,0,0,0,19.8164119720459,203.162078857422,-5.88627624511719
171228179571,-11,5,7,0,0,0,18.1127681732178,201.752426147461,-5.75173425674438
171228283704,-16,5,7,0,0,0,15.7032155990601,200.266571044922,-5.3705472946167
171228413720,2,0,3,0,0,0,15.7117557525635,199.767974853516,-6.01680898666382
171228465731,5,6,4,0,0,0,16.4220867156982,198.843536376953,-6.13765859603882
171228543792,5,6,3,0,0,0,17.1982707977295,198.000686645508,-6.07120800018311
171228613163,3,5,2,0,0,0,17.7817401885986,197.340408325195,-5.93830966949463
171228682538,4,6,4,0,0,0,18.4079151153564,196.457046508789,-6.01432132720947
171228751918,3,0,0,0,0,0,18.8152847290039,196.444686889648,-6.20153188705444
171228804243,1,-3,-1,0,0,0,18.9333686828613,196.803207397461,-6.37459564208984
171228856002,-1,-6,-4,0,0,0,18.7642555236816,197.712112426758,-6.58256721496582
171228934089,-3,-11,-7,0,0,0,18.3339767456055,199.524429321289,-6.64953327178955
171229038105,-6,-14,-9,0,0,0,17.3250389099121,201.670272827148,-6.69920539855957
171229168225,-4,-9,-7,0,0,0,16.7496891021729,203.372817993164,-6.36369466781616
171229263594,1,-2,-3,0,0,0,16.9462947845459,204.061126708984,-6.13550567626953
