"Time","Step_Base","Step_Elbow","Step_Shoulder","Step_WristLeft","Step_WristRight","Step_Gripper","Palm_x","Palm_y","Palm_z"
97150836568,0,0,0,0,0,0,-31.3492126464844,338.330596923828,10.6441040039063
97150906046,-2,1,0,0,0,0,-31.6556339263916,338.221618652344,10.8285865783691
97150949296,1,0,0,0,0,0,-31.5245018005371,338.132507324219,10.8100757598877
97150993103,0,0,1,0,0,0,-31.5042152404785,337.84521484375,10.7676467895508
97151036034,2,-1,1,0,0,0,-31.2260818481445,337.614410400391,10.6652994155884
97151079379,2,-1,1,0,0,0,-30.8482627868652,337.477233886719,10.4769411087036
97151122724,2,-2,1,0,0,0,-30.5425186157227,337.315216064453,10.1360702514648
97151174796,2,-2,1,0,0,0,-30.2730541229248,336.947998046875,9.845139503479
97151218146,1,-2,1,0,0,0,-30.1610870361328,336.599151611328,9.53389739990234
97151270181,1,-2,2,0,0,0,-30.0024108886719,336.056091308594,9.22680854797363
97151313538,0,-1,2,0,0,0,-30.0638122558594,335.624420166016,9.05820465087891
97151365575,-2,0,2,0,0,0,-30.343994140625,335.091491699219,9.01937961578369
97151408932,1,0,1,0,0,0,-30.2406539916992,334.920745849609,8.96463203430176
97151452286,0,-1,0,0,0,0,-30.1914596557617,335.012573242188,8.87595367431641
97151486959,0,-1,1,0,0,0,-30.1658630371094,334.82958984375,8.67062187194824
97151530338,1,-1,0,0,0,0,-30.0174465179443,334.718627929688,8.46315956115723
97151573685,1,-2,2,0,0,0,-29.8377227783203,334.295715332031,8.16590404510498
97151617062,2,-2,3,0,0,0,-29.4984703063965,333.570098876953,7.84108829498291
97151669087,4,-1,3,0,0,0,-28.9399509429932,332.779205322266,7.65774822235107
97151729761,5,0,3,0,0,0,-28.2005996704102,331.955291748047,7.56563997268677
97151799158,7,-1,4,0,0,0,-27.1642456054688,330.991394042969,7.41274976730347
97151877199,6,2,6,0,0,0,-26.1987743377686,329.299530029297,7.55293655395508
97151946574,3,3,2,0,0,0,-25.653678894043,328.799560546875,7.98012542724609
97151998565,-2,4,1,0,0,0,-25.9129199981689,328.610626220703,8.6594409942627
97152059332,-2,4,2,0,0,0,-26.2384185791016,328.001647949219,9.31848621368408
97152120027,1,1,2,0,0,0,-26.1012191772461,327.519500732422,9.48133277893066
97152171977,4,-2,3,0,0,0,-25.4610805511475,326.602447509766,9.14478492736816
97152232739,6,-2,4,0,0,0,-24.6135158538818,325.430236816406,8.74140644073486
97152302162,5,0,2,0,0,0,-23.8245506286621,324.901214599609,8.59640884399414
97152371465,4,1,3,0,0,0,-23.2407512664795,323.997009277344,8.69226169586182
97152423534,3,1,0,0,0,0,-22.7987098693848,324.014190673828,8.85574340820313
97152475576,3,0,-1,0,0,0,-22.2962379455566,324.351470947266,8.84419536590576
97152536286,5,1,0,0,0,0,-21.5394439697266,324.415924072266,8.92057037353516
97152596982,6,1,2,0,0,0,-20.6185779571533,323.775634765625,9.03901195526123
97152666358,6,1,2,0,0,0,-19.6131973266602,323.118011474609,9.15046310424805
97152744377,8,1,7,0,0,0,-18.2884159088135,321.375610351563,9.09427165985107
97152822447,6,1,2,0,0,0,-17.3377704620361,320.833587646484,9.0843448638916
97152900507,5,0,3,0,0,0,-16.4792022705078,320.155029296875,8.99635028839111
97152961201,6,1,4,0,0,0,-15.5937480926514,319.143371582031,8.99110889434814
97153039256,9,0,3,0,0,0,-14.2020826339722,318.356506347656,8.84994697570801
97153125983,8,2,3,0,0,0,-12.9890470504761,317.453155517578,8.95100212097168
97153212675,7,3,5,0,0,0,-11.858380317688,316.050201416016,9.10586166381836
97153290728,1,1,3,0,0,0,-11.6554765701294,315.333557128906,9.1729907989502
97153342757,1,1,2,0,0,0,-11.559455871582,314.877655029297,9.24306964874268
97153386141,1,0,1,0,0,0,-11.3888254165649,314.546478271484,9.23622131347656
97153429535,1,0,1,0,0,0,-11.1748151779175,314.339202880859,9.21486473083496
97153464384,1,0,2,0,0,0,-10.9818735122681,313.928161621094,9.12968826293945
97153516187,1,-1,4,0,0,0,-10.7894124984741,312.953186035156,8.86508369445801
97153568303,1,0,2,0,0,0,-10.5724992752075,312.358764648438,8.69159603118896
97153620274,2,1,2,0,0,0,-10.2084789276123,311.784942626953,8.72537803649902
97153663630,2,1,2,0,0,0,-9.87893867492676,311.252655029297,8.75676918029785
97153715666,3,1,5,0,0,0,-9.46883678436279,309.918975830078,8.58633518218994
97153776380,3,0,5,0,0,0,-9.0015344619751,308.697540283203,8.25814247131348
97153845706,1,2,2,0,0,0,-8.74860382080078,308.170349121094,8.50509452819824
97153889054,1,1,2,0,0,0,-8.61415958404541,307.771301269531,8.52709293365479
97153932427,1,0,3,0,0,0,-8.43198776245117,307.060241699219,8.39481830596924
97153967165,1,-1,2,0,0,0,-8.27194976806641,306.488037109375,8.11239814758301
97154036476,2,-1,3,0,0,0,-8.02138423919678,305.726654052734,7.80645227432251
97154088539,2,-1,2,0,0,0,-7.777174949646,305.312072753906,7.55787229537964
