"Time","Step_Base","Step_Elbow","Step_Shoulder","Step_WristLeft","Step_WristRight","Step_Gripper","Palm_x","Palm_y","Palm_z"
255329413910,0,0,0,0,0,0,-61.7822799682617,346.382049560547,19.0981483459473
255329457335,1,-1,0,0,0,0,-61.6607093811035,346.26806640625,18.9454879760742
255329500596,0,-1,0,0,0,0,-61.6558456420898,346.338226318359,18.8083095550537
255329535284,1,-1,0,0,0,0,-61.563289642334,346.2080078125,18.6142063140869
255329578665,0,-1,1,0,0,0,-61.5010719299316,345.931701660156,18.4258575439453
255329621993,1,-1,1,0,0,0,-61.2844543457031,345.756744384766,18.2842922210693
255329665376,2,-1,0,0,0,0,-60.9325523376465,345.699371337891,18.1192455291748
255329708694,3,0,0,0,0,0,-60.4681777954102,345.652435302734,18.1631698608398
255329760781,3,1,1,0,0,0,-59.958610534668,345.508148193359,18.3789863586426
255329812715,3,4,2,0,0,0,-59.4232711791992,344.922760009766,18.9491844177246
255329873524,9,3,1,0,0,0,-58.0333061218262,344.601989746094,19.3786792755127
255329960196,16,0,2,0,0,0,-55.524974822998,344.175964355469,19.3177928924561
255330098976,16,4,2,0,0,0,-53.042163848877,343.551025390625,19.7855701446533
255330229218,11,3,-2,0,0,0,-51.3204803466797,343.975646972656,20.2277355194092
255330333110,4,9,-3,0,0,0,-50.5801467895508,344.708526611328,21.6064205169678
255330428517,3,5,0,0,0,0,-49.970573425293,344.582122802734,22.3559303283691
255330489260,2,3,3,0,0,0,-49.619701385498,343.890747070313,22.7446384429932
255330549918,2,4,5,0,0,0,-49.3216781616211,342.652648925781,23.2949047088623
255330610622,3,2,8,0,0,0,-48.7692756652832,340.598022460938,23.543872833252
255330697337,9,3,9,0,0,0,-47.2895927429199,338.213012695313,23.7465953826904
255330784063,8,1,7,0,0,0,-45.9982261657715,336.268280029297,23.7248077392578
255330870762,1,3,3,0,0,0,-45.8295745849609,335.361663818359,24.0941772460938
255330922986,1,1,1,0,0,0,-45.7018890380859,335.105834960938,24.173900604248
255330966167,2,1,2,0,0,0,-45.3754959106445,334.467407226563,24.2706604003906
255331009521,3,1,3,0,0,0,-44.8236694335938,333.6201171875,24.2411975860596
255331061581,5,-1,3,0,0,0,-44.0937538146973,332.848724365234,23.9504470825195
255331130929,6,1,3,0,0,0,-43.0422859191895,331.916229248047,23.8867473602295
255331200308,6,1,1,0,0,0,-42.093074798584,331.700531005859,23.9621200561523
255331269665,5,1,0,0,0,0,-41.2532043457031,331.591033935547,24.0744457244873
255331339050,6,1,4,0,0,0,-40.34423828125,330.598602294922,24.0845642089844
255331408463,7,1,3,0,0,0,-39.1659164428711,329.787048339844,24.0544891357422
255331486477,8,-2,1,0,0,0,-37.8959884643555,329.582214355469,23.5876922607422
255331573185,6,2,6,0,0,0,-36.8601341247559,328.016021728516,23.6031436920166
255331642563,3,1,2,0,0,0,-36.3131790161133,327.406585693359,23.5828838348389
255331694606,3,-1,1,0,0,0,-35.8421630859375,327.251678466797,23.3369140625
255331755305,2,0,2,0,0,0,-35.4696464538574,326.829254150391,23.2279968261719
255331798891,1,0,1,0,0,0,-35.2445487976074,326.495697021484,23.1560363769531
255331833363,1,0,1,0,0,0,-35.1114540100098,326.298980712891,23.1546840667725
255331876697,0,1,1,0,0,0,-35.0518989562988,326.135070800781,23.287036895752
255331920095,0,1,1,0,0,0,-34.9906158447266,325.817840576172,23.4007911682129
255331954753,1,-1,2,0,0,0,-34.8919525146484,325.222930908203,23.1408252716064
255332006795,4,-1,2,0,0,0,-34.298957824707,324.683349609375,22.8081607818604
255332058826,4,-1,5,0,0,0,-33.6668128967285,323.227416992188,22.3745784759521
255332128211,7,-2,7,0,0,0,-32.6778144836426,321.285339355469,21.6748237609863
255332206240,8,0,4,0,0,0,-31.4811344146729,320.10546875,21.3372249603271
255332292993,8,0,4,0,0,0,-30.2526054382324,318.921478271484,20.9431476593018
255332379687,6,1,3,0,0,0,-29.2464199066162,318.089538574219,20.855339050293
255332449091,7,2,4,0,0,0,-28.1570148468018,316.981994628906,20.8142604827881
255332527092,7,2,5,0,0,0,-27.038854598999,315.562042236328,20.7102832794189
255332605164,7,0,4,0,0,0,-25.928186416626,314.518402099609,20.3389873504639
255332683219,2,2,2,0,0,0,-25.6052589416504,313.988464355469,20.4519309997559
255332726573,-2,1,0,0,0,0,-25.9418239593506,314.064422607422,20.6890106201172
255332778615,-2,0,2,0,0,0,-26.2570362091064,313.510498046875,20.6594142913818
255332821955,0,0,2,0,0,0,-26.3418579101563,312.860198974609,20.5216426849365
255332874001,-1,1,2,0,0,0,-26.4268836975098,312.256896972656,20.5177116394043
255332917361,0,1,2,0,0,0,-26.4562435150146,311.652496337891,20.5004501342773
255332960709,1,0,3,0,0,0,-26.3022899627686,310.894958496094,20.3928527832031
255333012758,2,1,4,0,0,0,-25.950798034668,309.847076416016,20.3180885314941
255333073440,5,3,6,0,0,0,-25.1381969451904,308.323760986328,20.2306461334229
255333151510,9,2,9,0,0,0,-23.805196762085,306.029174804688,19.8166446685791
255333238224,8,2,5,0,0,0,-22.4781818389893,304.795745849609,19.5205268859863
255333324975,6,2,7,0,0,0,-21.5153388977051,302.9462890625,19.1797504425049
255333402981,3,1,2,0,0,0,-21.0444087982178,302.316619873047,19.0276527404785
255333455019,4,-1,0,0,0,0,-20.4331398010254,302.292144775391,18.7439155578613
255333498388,3,-2,-2,0,0,0,-19.9835777282715,302.775970458984,18.4950218200684
255333567767,3,-1,0,0,0,0,-19.5795936584473,302.732238769531,18.2977886199951
255333619771,1,1,1,0,0,0,-19.3367443084717,302.341094970703,18.3215751647949
255333663124,1,2,2,0,0,0,-19.168851852417,301.823303222656,18.4193344116211
255333706536,2,2,2,0,0,0,-18.9022750854492,301.218017578125,18.4667167663574
255333749884,2,2,2,0,0,0,-18.5653762817383,300.679351806641,18.6107082366943
255333801900,2,2,2,0,0,0,-18.2167282104492,300.0478515625,18.7178077697754
255333845245,2,2,2,0,0,0,-17.8481826782227,299.533050537109,18.7889423370361
255333888828,3,2,3,0,0,0,-17.3889656066895,298.732299804688,18.8045406341553
255333940676,4,2,4,0,0,0,-16.8001518249512,297.613647460938,18.6649398803711
255334010003,5,5,7,0,0,0,-15.9477186203003,295.705017089844,18.6924591064453
255334079375,4,7,9,0,0,0,-15.2732315063477,293.334930419922,18.9644718170166
255334175144,7,5,12,0,0,0,-14.2042446136475,290.188446044922,18.5558586120605
255334287529,11,3,9,0,0,0,-12.537109375,287.983825683594,17.783805847168
255334382916,7,0,5,0,0,0,-11.6386623382568,286.7451171875,17.0759696960449
255334469678,1,0,0,0,0,0,-11.5817470550537,286.624969482422,16.9431495666504
255334504341,1,-1,0,0,0,0,-11.4013576507568,286.568664550781,16.7562274932861
255334547744,3,-1,0,0,0,0,-11.0017290115356,286.637329101563,16.5112934112549
255334599718,2,-1,0,0,0,0,-10.7224283218384,286.599609375,16.3259201049805
255334643139,0,0,0,0,0,0,-10.6683073043823,286.498443603516,16.2652492523193
255334677786,-1,-1,0,0,0,0,-10.792085647583,286.396820068359,16.1693649291992
255334721150,-1,-3,0,0,0,0,-11.1264944076538,286.441131591797,15.7526617050171
255334781828,-2,-9,3,0,0,0,-11.8359355926514,285.729919433594,14.2310419082642
255334868574,-3,-11,3,0,0,0,-12.8381147384644,285.202819824219,12.4522876739502
255334972786,-2,-5,-1,0,0,0,-13.2729473114014,285.483703613281,11.8640632629395
255335041941,4,1,4,0,0,0,-12.6597957611084,284.478149414063,11.4972276687622
255335102832,4,5,6,0,0,0,-12.0041761398315,282.89208984375,11.589075088501
255335172008,6,5,8,0,0,0,-11.0634298324585,280.912445068359,11.4386692047119
255335258815,8,4,9,0,0,0,-9.88883399963379,278.637817382813,10.7676372528076
255335354214,5,0,3,0,0,0,-9.27577304840088,277.937744140625,10.2216320037842
255335414901,3,1,2,0,0,0,-8.88113021850586,277.428802490234,10.1027584075928
255335466922,4,2,4,0,0,0,-8.38918209075928,276.373870849609,9.80865859985352
255335527641,4,1,4,0,0,0,-7.87250852584839,275.492980957031,9.42470073699951
255335588325,1,3,3,0,0,0,-7.71064567565918,274.682586669922,9.46188831329346
255335640339,0,3,4,0,0,0,-7.62699460983276,273.689392089844,9.52007961273193
255335701074,2,3,4,0,0,0,-7.41214799880981,272.557159423828,9.35445785522461
255335753101,2,3,4,0,0,0,-7.06508922576904,271.471618652344,9.20350933074951
255335813761,3,2,5,0,0,0,-6.66271877288818,270.275726318359,8.90918159484863
255335883158,4,2,4,0,0,0,-6.1543664932251,269.365051269531,8.57597732543945
255335943892,3,4,5,0,0,0,-5.73012590408325,268.151550292969,8.45548248291016
255336004598,4,6,7,0,0,0,-5.15318489074707,266.280426025391,8.2940788269043
255336082661,7,8,8,0,0,0,-4.01420307159424,264.165557861328,8.10980129241943
255336169370,6,7,8,0,0,0,-3.07735300064087,262.033538818359,7.78465557098389
255336256076,1,-1,5,0,0,0,-3.18239831924438,260.930480957031,7.06682300567627
255336316760,-2,-5,-1,0,0,0,-3.66664934158325,261.214935302734,6.51699638366699
255336386160,-1,-6,-5,0,0,0,-3.97655725479126,262.388366699219,6.23361396789551
255336464218,2,-1,0,0,0,0,-3.78482842445374,262.322784423828,6.02739191055298
255336507537,2,3,3,0,0,0,-3.5369827747345,261.625885009766,6.02723360061646
255336559611,3,5,5,0,0,0,-3.09964776039124,260.316314697266,6.03099584579468
255336628954,6,8,10,0,0,0,-2.26002144813538,257.830505371094,5.72855234146118
255336724371,4,7,9,0,0,0,-1.68909192085266,255.558319091797,5.43856382369995
255336802447,0,2,3,0,0,0,-1.67272293567657,254.92106628418,5.42844343185425
255336871753,-1,2,2,0,0,0,-1.85281348228455,254.327331542969,5.41978120803833
255336915144,0,2,2,0,0,0,-1.8829243183136,253.782867431641,5.39439344406128
255336967163,1,3,3,0,0,0,-1.79075860977173,253.047866821289,5.34514045715332
255337019196,1,3,4,0,0,0,-1.72150671482086,252.095016479492,5.29205274581909
255337071248,0,3,4,0,0,0,-1.80828249454498,251.11930847168,5.2406759262085
255337131919,0,2,4,0,0,0,-1.90312170982361,250.236312866211,5.08256959915161
255337192637,1,0,1,0,0,0,-1.74845671653748,249.903305053711,4.87843227386475
255337227377,0,0,1,0,0,0,-1.77235865592957,249.656448364258,4.79199504852295
255337270724,-2,1,1,0,0,0,-2.03349351882935,249.309066772461,4.81957244873047
255337322693,-1,1,3,0,0,0,-2.23182845115662,248.689910888672,4.74231576919556
255337374764,1,1,2,0,0,0,-2.20501303672791,248.246398925781,4.53841876983643
255337418107,2,2,2,0,0,0,-1.96581375598907,247.695831298828,4.42887544631958
255337470170,3,3,3,0,0,0,-1.55620193481445,246.997787475586,4.3722038269043
255337522135,3,2,3,0,0,0,-1.23351883888245,246.340744018555,4.06935691833496
255337574211,0,0,2,0,0,0,-1.37072253227234,245.977005004883,3.82469153404236
255337617575,-3,-1,2,0,0,0,-2.02206778526306,245.495712280273,3.60544490814209
255337669691,-5,-1,4,0,0,0,-2.92459344863892,244.627471923828,3.1548388004303
255337738993,-3,-2,3,0,0,0,-3.56042742729187,244.084777832031,2.58998775482178
255337791024,0,0,2,0,0,0,-3.75760912895203,243.551376342773,2.26419591903687
255337843039,-1,1,3,0,0,0,-3.95146489143372,242.799499511719,1.96820592880249
255337895060,2,0,3,0,0,0,-3.85417437553406,242.183441162109,1.53159976005554
255337947127,4,3,5,0,0,0,-3.4186098575592,241.051773071289,1.13126420974731
255338007791,3,3,3,0,0,0,-2.98897433280945,240.215469360352,0.937325537204742
255338068512,0,3,1,0,0,0,-2.89638757705688,239.960037231445,1.22893667221069
255338120560,-12,3,-1,0,0,0,-4.37841558456421,240.063781738281,2.33346056938171
255338233264,-16,3,3,0,0,0,-6.63056802749634,239.449935913086,3.15332102775574
255338363411,6,8,10,0,0,0,-5.86254119873047,236.993789672852,2.4447774887085
255338467404,2,9,7,0,0,0,-5.46489429473877,235.16584777832,2.56445956230164
255338554205,-3,10,8,0,0,0,-5.81739044189453,233.165908813477,2.99671959877014
255338649513,-1,14,13,0,0,0,-5.92329216003418,230.052062988281,3.07350635528564
255338779648,13,11,14,0,0,0,-4.34017133712769,226.925903320313,1.74591660499573
255338901029,8,3,6,0,0,0,-3.38773655891418,225.570205688477,0.71146559715271
255338987779,2,-2,3,0,0,0,-3.43283462524414,224.955337524414,-0.320917695760727
255339039766,-1,-2,2,0,0,0,-3.7518630027771,224.556457519531,-0.929487884044647
255339091789,0,-2,2,0,0,0,-4.02908611297607,224.242630004883,-1.53893804550171
255339135161,0,-2,1,0,0,0,-4.1920313835144,224.004898071289,-2.06874513626099
