"Time","Step_Base","Step_Elbow","Step_Shoulder","Step_WristLeft","Step_WristRight","Step_Gripper","Palm_x","Palm_y","Palm_z"
253854293871,0,0,0,0,0,0,-53.4747200012207,329.549011230469,27.7320671081543
253854389215,1,1,2,0,0,0,-53.2572174072266,329.013885498047,27.8247566223145
253854432616,1,-1,2,0,0,0,-53.1353759765625,328.419097900391,27.7296905517578
253854484597,3,-1,3,0,0,0,-52.7388076782227,327.633666992188,27.5513706207275
253854536604,2,-1,2,0,0,0,-52.4499778747559,327.094482421875,27.3792018890381
253854580000,2,0,1,0,0,0,-52.1565017700195,326.900207519531,27.3776893615723
253854632176,1,0,-2,0,0,0,-51.954948425293,327.344207763672,27.3568916320801
253854675367,1,0,-2,0,0,0,-51.8606224060059,327.786682128906,27.3947238922119
253854727386,2,0,-2,0,0,0,-51.5631980895996,328.215057373047,27.4457626342773
253854770758,2,1,0,0,0,0,-51.2753639221191,328.296325683594,27.5751457214355
253854814080,2,2,1,0,0,0,-50.9702262878418,327.937683105469,27.8079242706299
253854866184,4,1,3,0,0,0,-50.3425216674805,327.112548828125,27.8914337158203
253854918203,7,1,4,0,0,0,-49.1979904174805,326.052032470703,28.0409297943115
253854996200,17,-7,4,0,0,0,-46.5629043579102,325.054840087891,26.7512321472168
253855143670,38,-11,14,0,0,0,-40.8028144836426,321.363922119141,24.5165481567383
253855403950,21,-6,4,0,0,0,-37.5614395141602,320.195251464844,23.2998561859131
253855568725,13,3,14,0,0,0,-35.4926414489746,316.456451416016,23.276123046875
253855690146,10,0,15,0,0,0,-33.9801368713379,312.555511474609,22.8535537719727
253855820209,19,-1,10,0,0,0,-31.0839004516602,309.988098144531,22.063455581665
253855967651,14,2,8,0,0,0,-28.9778232574463,307.960693359375,21.7979068756104
253856097695,9,1,5,0,0,0,-27.5501346588135,306.674713134766,21.5754985809326
253856184419,8,-1,3,0,0,0,-26.4134140014648,305.994689941406,21.1424579620361
253856271150,6,2,5,0,0,0,-25.4774150848389,304.603546142578,21.0772914886475
253856340509,8,-3,5,0,0,0,-24.3514595031738,303.354522705078,20.2911033630371
253856427246,7,-2,2,0,0,0,-23.3198337554932,302.731109619141,19.7493991851807
253856505289,4,2,5,0,0,0,-22.6472988128662,301.467895507813,19.6814575195313
253856574689,8,-1,4,0,0,0,-21.5439033508301,300.276306152344,19.1714687347412
253856661406,9,0,8,0,0,0,-20.275447845459,298.118377685547,18.6248931884766
253856748103,7,1,7,0,0,0,-19.3336715698242,296.165710449219,18.2556495666504
253856826182,5,-1,5,0,0,0,-18.6346340179443,294.901153564453,17.7108993530273
253856895528,5,-1,4,0,0,0,-18.0120639801025,293.862030029297,17.240348815918
253856956218,5,1,1,0,0,0,-17.3012409210205,293.552154541016,17.1710414886475
253857025631,5,0,1,0,0,0,-16.6305294036865,293.233032226563,17.033712387085
253857086340,8,0,3,0,0,0,-15.5600786209106,292.349182128906,16.5549602508545
253857173314,12,1,8,0,0,0,-13.8136920928955,290.201232910156,15.7580146789551
253857285779,10,3,10,0,0,0,-12.4141054153442,287.558349609375,15.2790231704712
253857381311,-1,2,0,0,0,0,-12.5034675598145,287.479736328125,15.6553449630737
253857433211,-2,-3,-3,0,0,0,-12.8472528457642,288.14697265625,15.4877967834473
253857485222,-3,-1,-1,0,0,0,-13.2858486175537,288.434722900391,15.4651117324829
253857545914,-2,1,1,0,0,0,-13.5213537216187,288.181030273438,15.5850648880005
253857589402,1,2,2,0,0,0,-13.3150196075439,287.561798095703,15.6692953109741
253857632611,4,4,6,0,0,0,-12.7214841842651,285.936798095703,15.7723274230957
253857702022,11,8,13,0,0,0,-11.0484247207642,282.662048339844,15.6955842971802
253857823434,19,13,20,0,0,0,-8.05007553100586,277.593597412109,15.5836954116821
253857988199,20,19,20,0,0,0,-4.66299247741699,272.474365234375,16.1041927337646
253858144246,14,12,10,0,0,0,-2.36785459518433,269.802825927734,16.3683853149414
253858274390,-7,3,5,0,0,0,-3.44890093803406,268.576843261719,16.6738891601563
253858352449,-5,3,8,0,0,0,-4.32530641555786,266.462371826172,16.5906867980957
253858430475,-4,2,3,0,0,0,-4.89447450637817,265.649566650391,16.7311954498291
253858491183,0,-1,-1,0,0,0,-4.94498538970947,265.902740478516,16.7086658477783
253858534514,0,-1,-1,0,0,0,-4.91757535934448,266.053283691406,16.6559085845947
253858578031,0,-1,0,0,0,0,-4.93071556091309,266.162322998047,16.5974464416504
253858621246,-1,-1,-1,0,0,0,-5.11138772964478,266.381774902344,16.5806732177734
253858664628,-2,0,1,0,0,0,-5.40500450134277,266.2109375,16.646411895752
253858707950,-1,0,1,0,0,0,-5.59536266326904,266.000854492188,16.6501522064209
253858751328,-1,0,1,0,0,0,-5.72030830383301,265.8115234375,16.6569576263428
253858794677,1,2,3,0,0,0,-5.49206209182739,265.118255615234,16.6559085845947
253858846761,2,5,7,0,0,0,-5.13278722763062,263.410308837891,16.61745262146
253858924812,5,7,8,0,0,0,-4.34854698181152,261.413726806641,16.6494102478027
253859002802,5,5,7,0,0,0,-3.64410614967346,259.694244384766,16.5358066558838
253859089589,3,4,5,0,0,0,-3.17983913421631,258.363006591797,16.4002914428711
253859150531,3,3,3,0,0,0,-2.70821571350098,257.571166992188,16.425350189209
253859202308,2,3,4,0,0,0,-2.39415764808655,256.649230957031,16.4491939544678
253859262916,6,4,4,0,0,0,-1.44828701019287,255.647155761719,16.4054470062256
253859332377,7,3,4,0,0,0,-0.385126411914825,254.701583862305,16.0565757751465
253859410405,5,2,1,0,0,0,0.459185898303986,254.360961914063,15.9934520721436
253859479751,6,2,2,0,0,0,1.30472850799561,253.736526489258,15.7450361251831
253859549135,4,3,3,0,0,0,1.99297618865967,252.882095336914,15.6447172164917
253859609890,0,0,3,0,0,0,1.87648010253906,252.194793701172,15.3599433898926
253859661906,-4,-1,3,0,0,0,1.10013043880463,251.497146606445,15.1042013168335
253859722606,-3,2,6,0,0,0,0.494477361440659,250.039184570313,14.9785690307617
253859791962,1,3,7,0,0,0,0.530394554138184,248.401168823242,14.6874399185181
253859870316,4,6,9,0,0,0,1.03638327121735,246.099578857422,14.3116254806519
253859965426,7,10,14,0,0,0,1.95232236385345,242.669555664063,13.7539911270142
253860086816,13,2,9,0,0,0,3.54468512535095,240.445770263672,12.2459955215454
253860208216,12,9,9,0,0,0,5.41255712509155,238.237182617188,11.8656578063965
253860312302,10,5,4,0,0,0,6.94672966003418,237.236755371094,11.5174121856689
253860407651,1,5,6,0,0,0,7.04793500900269,235.851806640625,11.567798614502
253860485742,1,5,5,0,0,0,7.18001937866211,234.558456420898,11.5692234039307
253860546424,2,4,6,0,0,0,7.43813562393188,233.181137084961,11.3424825668335
253860624455,0,6,9,0,0,0,7.30717277526855,231.049026489258,11.0715837478638
253860711452,-6,5,6,0,0,0,6.36075592041016,229.490539550781,11.2351541519165
253860780564,-8,3,5,0,0,0,5.21488571166992,228.42008972168,11.4489641189575
253860867359,-2,3,4,0,0,0,4.81643104553223,227.368408203125,11.3549852371216
253860928008,0,3,3,0,0,0,4.80757713317871,226.625442504883,11.3854379653931
253860980051,0,4,4,0,0,0,4.86996984481812,225.688491821289,11.3531942367554
253861040718,0,5,5,0,0,0,4.84833192825317,224.360092163086,11.3188390731812
253861110443,2,3,4,0,0,0,5.12193536758423,223.439041137695,11.1336288452148
253861170817,1,4,4,0,0,0,5.31824731826782,222.550933837891,11.1657238006592
253861222839,0,4,5,0,0,0,5.26289939880371,221.435546875,11.0990629196167
253861292240,-1,3,4,0,0,0,4.99046802520752,220.469253540039,10.9805908203125
253861352950,-1,-1,2,0,0,0,4.61062288284302,220.061660766602,10.5222883224487
253861396284,-1,-4,0,0,0,0,4.16669893264771,220.058990478516,9.92756366729736
253861456956,-2,-6,-1,0,0,0,3.63679003715515,220.388824462891,9.25237560272217
253861535053,0,-6,1,0,0,0,3.31013679504395,220.390289306641,8.31297206878662
253861604410,4,-3,0,0,0,0,3.65976667404175,220.426788330078,7.57257032394409
253861665094,3,2,3,0,0,0,3.96690845489502,219.726440429688,7.17871427536011
253861725846,2,4,6,0,0,0,4.17089891433716,218.390777587891,6.77803421020508
253861795208,4,3,7,0,0,0,4.48269081115723,216.798324584961,5.96718263626099
253861873256,4,0,4,0,0,0,4.74260187149048,215.937484741211,5.14142656326294
253861933949,-1,2,4,0,0,0,4.46678161621094,215.109603881836,4.95027303695679
253861994769,-6,2,3,0,0,0,3.4746687412262,214.37971496582,5.01270532608032
253862064060,-15,-5,-3,0,0,0,1.2632155418396,215.142196655273,5.47106790542603
253862194291,-10,-1,-3,0,0,0,-0.0310263521969318,215.711166381836,6.24560785293579
253862298199,12,11,9,0,0,0,1.67462968826294,213.547378540039,5.90533781051636
253862410960,7,14,8,0,0,0,2.83509922027588,211.558502197266,6.27480125427246
253862532322,14,24,16,0,0,0,5.13745403289795,207.534301757813,6.39956140518188
253862714430,20,33,22,0,0,0,8.32668113708496,202.084594726563,6.2668309211731
253862948562,6,13,6,0,0,0,9.47049617767334,200.428512573242,6.72878313064575
253863061298,-2,4,3,0,0,0,9.21926116943359,199.768005371094,6.99424362182617
253863122027,1,5,3,0,0,0,9.44861888885498,199.062271118164,7.25070810317993
253863191396,-4,8,5,0,0,0,9.08787441253662,197.786865234375,7.77624607086182
253863269440,-4,4,4,0,0,0,8.50014972686768,196.846908569336,7.90298843383789
253863330120,-2,-3,1,0,0,0,7.98522424697876,196.832824707031,7.50919055938721
253863390838,-2,-5,-1,0,0,0,7.40855646133423,197.131851196289,7.04353332519531
253863460215,-4,-1,2,0,0,0,6.63205623626709,196.726318359375,6.71986198425293
253863521075,-1,-2,0,0,0,0,6.36641454696655,196.758377075195,6.40497303009033
253863564284,0,-4,-2,0,0,0,6.33119821548462,197.308059692383,6.13283157348633
253863624958,4,-15,-9,0,0,0,6.63987159729004,199.587997436523,5.3580846786499
253863755163,6,-44,-38,0,0,0,7.59186506271362,208.440841674805,5.20067453384399
