"Time","Step_Base","Step_Elbow","Step_Shoulder","Step_WristLeft","Step_WristRight","Step_Gripper","Palm_x","Palm_y","Palm_z"
89193433488,0,0,0,0,0,0,-16.8361778259277,310.426910400391,36.1103935241699
89193494333,0,-2,1,0,0,0,-16.870569229126,310.26806640625,35.7900810241699
89193537534,0,-1,0,0,0,0,-16.9360675811768,310.258544921875,35.6545104980469
89193580886,-1,-1,0,0,0,0,-17.0565242767334,310.199462890625,35.5545196533203
89193624242,-1,0,0,0,0,0,-17.2236366271973,310.194549560547,35.58984375
89193658918,1,0,0,0,0,0,-17.082311630249,310.305938720703,35.5481376647949
89193702300,3,-1,-1,0,0,0,-16.5749759674072,310.563995361328,35.3570022583008
89193754328,4,0,0,0,0,0,-15.8957052230835,310.528503417969,35.2905502319336
89193815042,5,0,2,0,0,0,-15.1742248535156,310.12060546875,35.236644744873
89193875811,4,-1,1,0,0,0,-14.5972919464111,309.897247314453,35.0954704284668
89193936434,3,-1,2,0,0,0,-14.0855388641357,309.487030029297,34.9368591308594
89193988453,4,-1,1,0,0,0,-13.4687519073486,309.26708984375,34.7969131469727
89194049157,7,-1,1,0,0,0,-12.3627576828003,309.009735107422,34.6644020080566
89194135859,9,0,1,0,0,0,-10.9244680404663,308.725524902344,34.6241683959961
89194222708,7,0,-1,0,0,0,-9.82077693939209,309.003753662109,34.5335350036621
89194300632,10,-1,-1,0,0,0,-8.27034187316895,309.147735595703,34.2914352416992
89194404695,12,-2,3,0,0,0,-6.464430809021,308.23828125,33.8315200805664
89194508803,12,-3,8,0,0,0,-4.57590436935425,306.109252929688,33.1858444213867
89194621498,19,-5,11,0,0,0,-1.63782024383545,303.260986328125,32.0241661071777
89194777758,13,-6,8,0,0,0,0.243811637163162,301.185791015625,30.7651863098145
89194890534,5,-4,2,0,0,0,0.876438021659851,300.606719970703,30.0526847839355
89194959908,7,-2,2,0,0,0,1.96734941005707,300.072540283203,29.5767192840576
89195037923,9,-1,0,0,0,0,3.32740020751953,300.082763671875,29.2717437744141
89195133298,7,1,3,0,0,0,4.36756563186646,299.199554443359,29.2791976928711
89195211312,5,-1,2,0,0,0,5.14747905731201,298.710784912109,28.9446983337402
89195272032,7,-2,2,0,0,0,6.15323400497437,298.103363037109,28.4190826416016
89195350117,10,-1,2,0,0,0,7.67654895782471,297.525909423828,28.0285091400146
89195454165,9,-1,4,0,0,0,9.07235145568848,296.410858154297,27.5867595672607
89195541019,7,-2,1,0,0,0,10.0302295684814,296.247924804688,27.181266784668
89195627597,9,0,2,0,0,0,11.4103221893311,295.757873535156,26.8671798706055
89195714332,10,-3,5,0,0,0,12.8030738830566,294.417694091797,26.084659576416
89195809738,8,3,5,0,0,0,13.9912023544312,293.035888671875,26.1950740814209
89195896408,11,0,3,0,0,0,15.621488571167,292.320098876953,25.8778877258301
89196000683,9,4,4,0,0,0,17.0656604766846,291.391418457031,26.0899982452393
89196095865,14,3,3,0,0,0,19.1787662506104,290.495178222656,26.0666637420654
89196217289,15,4,3,0,0,0,21.4692897796631,289.634735107422,26.0697841644287
89196338721,9,2,2,0,0,0,22.8895874023438,289.185516357422,25.9504642486572
89196434145,9,-1,3,0,0,0,24.1034393310547,288.384094238281,25.3968448638916
89196520784,5,0,3,0,0,0,24.8010330200195,287.508422851563,25.1298160552979
89196590287,2,1,2,0,0,0,25.1766147613525,286.969665527344,25.1046581268311
89196633526,1,1,2,0,0,0,25.3542404174805,286.414306640625,25.1681385040283
89196685560,2,0,2,0,0,0,25.5856819152832,285.871398925781,25.0237712860107
89196728943,2,-1,1,0,0,0,25.8901443481445,285.617706298828,24.7298908233643
89196780969,5,0,1,0,0,0,26.5695056915283,285.459259033203,24.4529857635498
89196841719,7,0,1,0,0,0,27.6359252929688,285.292297363281,24.0850868225098
89196919727,7,1,1,0,0,0,28.6688365936279,284.901306152344,23.8481044769287
89196997822,4,0,3,0,0,0,29.2125949859619,284.182678222656,23.6126594543457
89197058493,4,0,2,0,0,0,29.7318210601807,283.570983886719,23.3972587585449
89197119176,7,0,2,0,0,0,30.6920280456543,283.159271240234,23.0474224090576
89197197273,9,1,2,0,0,0,32.0182113647461,282.623046875,22.7271251678467
89197283901,10,1,3,0,0,0,33.4169616699219,281.845245361328,22.31130027771
89197379412,9,2,1,0,0,0,34.8352088928223,281.493347167969,22.1981754302979
89197466069,6,1,2,0,0,0,35.7563781738281,281.047668457031,22.0727863311768
89197544078,9,3,4,0,0,0,37.1146011352539,280.015594482422,22.0067539215088
89197639533,11,1,5,0,0,0,38.7751960754395,278.706817626953,21.4412498474121
89197734939,6,0,3,0,0,0,39.6309547424316,278.032958984375,20.9698963165283
89197812982,5,1,0,0,0,0,40.3523330688477,277.936004638672,20.8402900695801
89197873627,4,1,-1,0,0,0,40.9808120727539,278.128021240234,20.8977470397949
89197934359,6,1,2,0,0,0,41.825798034668,277.708862304688,20.7348213195801
89198012396,9,3,2,0,0,0,43.2026176452637,277.315582275391,20.6851577758789
89198099103,8,2,4,0,0,0,44.4245262145996,276.324005126953,20.420524597168
89198185884,8,2,2,0,0,0,45.6103897094727,275.756408691406,20.2473754882813
89198263898,2,3,3,0,0,0,46.0597991943359,274.873138427734,20.4301948547363
89198315973,0,2,2,0,0,0,46.055965423584,274.254791259766,20.5529079437256
89198367986,0,1,2,0,0,0,46.0619583129883,273.624847412109,20.6095733642578
89198393985,0,0,2,0,0,0,46.0752372741699,273.152008056641,20.5792045593262
89198454666,5,3,5,0,0,0,46.7868919372559,271.775665283203,20.4604949951172
89198524048,5,3,4,0,0,0,47.6461982727051,270.769378662109,20.4323616027832
89198593424,7,2,0,0,0,0,48.7393836975098,270.657806396484,20.3012523651123
89198671476,7,2,-3,0,0,0,49.9903907775879,271.433929443359,20.3523406982422
89198749546,7,4,0,0,0,0,51.2803802490234,271.388244628906,20.4547176361084
89198827592,7,3,3,0,0,0,52.4063034057617,270.466033935547,20.2705059051514
89198905642,5,4,3,0,0,0,53.2470932006836,269.639953613281,20.3585052490234
89198966347,4,3,2,0,0,0,53.9360694885254,269.199005126953,20.42506980896
89199027238,5,3,1,0,0,0,54.7994041442871,268.827545166016,20.4918537139893
89199096410,6,5,2,0,0,0,56.0196495056152,268.291748046875,20.7349185943604
89199166030,6,6,2,0,0,0,57.1826210021973,267.849365234375,21.1247005462646
89199235174,5,5,2,0,0,0,58.2016906738281,267.179565429688,21.3967990875244
89199304521,3,3,4,0,0,0,58.776195526123,266.178863525391,21.4106349945068
89199356527,0,2,4,0,0,0,58.8442649841309,265.225341796875,21.3795375823975
89199417301,2,1,1,0,0,0,59.1918334960938,264.917999267578,21.2882061004639
89199469296,0,2,1,0,0,0,59.2061805725098,264.532196044922,21.4463500976563
89199495314,0,1,1,0,0,0,59.2233047485352,264.154754638672,21.4973640441895
89199556017,1,2,4,0,0,0,59.3276863098145,263.231262207031,21.5071105957031
89199608062,2,1,3,0,0,0,59.6053695678711,262.482513427734,21.2995529174805
89199660125,3,2,2,0,0,0,60.0901985168457,261.993530273438,21.2695178985596
89199712139,2,2,2,0,0,0,60.4284934997559,261.466796875,21.2968845367432
89199764156,1,3,3,0,0,0,60.6427803039551,260.790802001953,21.4398403167725
89199816174,1,2,2,0,0,0,60.8667297363281,260.255767822266,21.5902347564697
89199859577,1,2,2,0,0,0,61.0138740539551,259.713012695313,21.6729049682617
89199903128,0,3,2,0,0,0,61.2049751281738,259.085754394531,21.9314193725586
89199963597,1,3,4,0,0,0,61.3897399902344,258.041259765625,21.98268699646
